Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
CH2O2 (1.19) mode 8,3089.20,0.01,3089.21,3089.20,0.01,-0.00,3089.18,0.03,3089.18,0.03,-0.00
CH2O2 (1.19) mode 9,3763.97,0.03,3764.00,3763.97,0.03,-0.00,3763.99,0.01,3763.99,0.01,0.00
CH2O (1.20) mode 1,1192.19,0.00,1192.19,1192.19,0.00,-0.00,1192.19,0.00,1192.19,0.00,0.00
CH2O (1.20) mode 2,1274.88,-0.00,1274.88,1274.88,-0.00,0.00,1274.89,-0.01,1274.89,-0.01,-0.00
CH2O (1.20) mode 3,1543.28,-0.08,1543.21,1543.28,-0.08,-0.00,1543.59,-0.38,1543.59,-0.38,-0.00
CH2O (1.20) mode 4,1780.74,0.03,1780.76,1780.74,0.03,-0.00,1780.50,0.26,1780.50,0.26,0.00
CH2O (1.20) mode 5,2929.20,0.02,2929.23,2929.20,0.03,0.00,2929.19,0.04,2929.18,0.04,0.00
CH2O (1.20) mode 6,2995.85,0.00,2995.85,2995.85,0.00,-0.00,2995.84,0.01,2995.84,0.01,-0.00
CH2 (1.21) mode 1,1406.85,-0.26,1406.59,1406.85,-0.26,0.00,1406.59,-0.00,1406.59,-0.00,-0.00
CH2 (1.21) mode 2,2911.92,0.13,2912.05,2911.89,0.16,0.03,2912.05,0.00,2912.05,0.00,0.00
CH2 (1.21) mode 3,2983.12,0.00,2983.12,2983.15,-0.03,-0.03,2983.12,0.00,2983.13,-0.00,-0.00
CH3Cl (1.22) mode 1,746.29,-0.05,746.24,746.28,-0.04,0.01,746.33,-0.09,746.33,-0.09,0.00
CH3Cl (1.22) mode 2,1031.77,-0.03,1031.74,1031.80,-0.05,-0.02,1031.80,-0.06,1031.80,-0.06,0.00
CH3Cl (1.22) mode 3,1031.78,-0.03,1031.75,1031.80,-0.05,-0.02,1031.81,-0.06,1031.81,-0.06,-0.00
CH3Cl (1.22) mode 4,1385.57,-0.00,1385.57,1385.58,-0.01,-0.00,1385.56,0.01,1385.56,0.01,0.00
CH3Cl (1.22) mode 5,1493.18,-0.05,1493.13,1493.17,-0.04,0.01,1493.11,0.02,1493.11,0.02,0.00
CH3Cl (1.22) mode 6,1493.18,-0.05,1493.13,1493.17,-0.04,0.01,1493.11,0.02,1493.11,0.02,-0.00
CH3Cl (1.22) mode 7,3078.62,0.04,3078.66,3078.65,0.01,-0.03,3078.65,0.02,3078.65,0.02,0.00
CH3Cl (1.22) mode 8,3179.23,0.03,3179.26,3179.23,0.03,0.00,3179.25,0.01,3179.25,0.01,0.00
CH3Cl (1.22) mode 9,3179.27,0.00,3179.27,3179.23,0.04,0.03,3179.26,0.01,3179.26,0.01,-0.00
CH3SH (1.23) mode 1,237.58,-0.01,237.57,237.58,-0.01,-0.00,237.60,-0.02,237.60,-0.02,-0.00
CH3SH (1.23) mode 2,721.00,-0.11,720.90,720.99,-0.10,0.01,721.06,-0.17,721.07,-0.17,-0.01
CH3SH (1.23) mode 3,799.95,-0.05,799.89,799.95,-0.06,-0.01,799.92,-0.03,799.92,-0.03,0.00
CH3SH (1.23) mode 4,976.31,-0.03,976.28,976.33,-0.05,-0.02,976.33,-0.05,976.35,-0.07,-0.01
CH3SH (1.23) mode 5,1099.83,-0.01,1099.81,1099.88,-0.06,-0.05,1099.87,-0.06,1099.89,-0.07,-0.02
CH3SH (1.23) mode 6,1362.14,0.00,1362.14,1362.14,0.00,0.00,1362.14,0.01,1362.14,0.01,0.00
CH3SH (1.23) mode 7,1483.00,-0.06,1482.93,1482.99,-0.05,0.01,1482.92,0.01,1482.92,0.02,0.01
CH3SH (1.23) mode 8,1497.05,-0.02,1497.03,1497.02,0.01,0.03,1497.00,0.03,1496.98,0.05,0.02
CH3SH (1.23) mode 9,2712.64,-0.00,2712.63,2712.64,-0.00,-0.00,2712.62,0.01,2712.62,0.01,0.00
CH3SH (1.23) mode 10,3059.88,0.04,3059.91,3059.90,0.01,-0.02,3059.90,0.02,3059.90,0.02,0.00
CH3SH (1.23) mode 11,3149.97,0.04,3150.01,3149.66,0.35,0.31,3149.99,0.02,3149.99,0.02,0.00
CH3SH (1.23) mode 12,3151.26,0.01,3151.27,3151.54,-0.27,-0.28,3151.26,0.01,3151.25,0.01,0.00
CHCl3 (1.24) mode 1,261.70,-0.03,261.66,261.69,-0.03,0.01,261.80,-0.14,261.70,-0.05,0.10
CHCl3 (1.24) mode 2,261.70,0.02,261.71,261.69,0.03,0.01,261.81,-0.09,261.80,-0.08,0.02
CHCl3 (1.24) mode 3,368.48,-0.00,368.48,368.49,-0.01,-0.01,368.49,-0.01,368.51,-0.03,-0.01
CHCl3 (1.24) mode 4,678.60,-0.03,678.57,678.60,-0.02,0.00,678.57,-0.00,678.57,0.01,0.01
CHCl3 (1.24) mode 5,789.94,-0.06,789.89,789.94,-0.04,0.00,789.90,-0.02,789.97,-0.08,-0.07
CHCl3 (1.24) mode 6,789.94,-0.04,789.91,789.94,-0.03,0.00,789.93,-0.03,791.16,-1.24,-1.22
CHCl3 (1.24) mode 7,1244.72,0.03,1244.75,1244.73,0.02,-0.01,1244.70,0.05,1244.10,0.65,0.60
CHCl3 (1.24) mode 8,1244.72,0.03,1244.76,1244.73,0.02,-0.01,1244.72,0.03,1244.54,0.21,0.17
CHCl3 (1.24) mode 9,3181.88,0.01,3181.88,3181.88,0.01,0.00,3181.88,0.00,3181.88,0.00,0.00
CHF3 (1.25) mode 1,514.82,-0.02,514.80,514.82,-0.02,-0.00,514.84,-0.04,514.83,-0.03,0.00
CHF3 (1.25) mode 2,514.82,-0.02,514.80,514.82,-0.02,-0.00,514.84,-0.04,514.84,-0.03,0.00
CHF3 (1.25) mode 3,710.28,-0.05,710.23,710.26,-0.04,0.01,710.30,-0.07,710.28,-0.05,0.02
CHF3 (1.25) mode 4,1161.89,0.02,1161.90,1161.90,0.00,-0.01,1161.96,-0.05,1161.97,-0.07,-0.01
CHF3 (1.25) mode 5,1204.62,-1.46,1203.17,1204.60,-1.43,0.02,1203.22,-0.05,1203.23,-0.06,-0.01
CHF3 (1.25) mode 6,1204.63,-1.46,1203.17,1204.60,-1.44,0.02,1203.24,-0.07,1203.24,-0.07,-0.01
CHF3 (1.25) mode 7,1423.08,1.24,1424.32,1423.10,1.23,-0.01,1424.25,0.07,1424.24,0.09,0.02
CHF3 (1.25) mode 8,1423.08,1.24,1424.32,1423.11,1.22,-0.02,1424.26,0.06,1424.27,0.06,-0.00
CHF3 (1.25) mode 9,3160.86,0.01,3160.87,3160.86,0.01,0.00,3160.83,0.04,3160.83,0.04,-0.00
H3CONO (1.26) mode 1,80.16,-0.42,79.74,80.16,-0.42,0.00,81.38,-1.64,81.39,-1.65,-0.00
H3CONO (1.26) mode 2,220.87,0.06,220.92,220.87,0.06,-0.00,220.48,0.45,220.48,0.45,0.00
H3CONO (1.26) mode 3,380.40,-0.07,380.32,380.40,-0.07,-0.00,380.41,-0.09,380.41,-0.09,-0.00
H3CONO (1.26) mode 4,595.15,-0.13,595.01,595.15,-0.13,0.00,595.17,-0.15,595.17,-0.15,-0.00
H3CONO (1.26) mode 5,848.14,-0.34,847.80,848.14,-0.34,0.00,848.81,-1.01,848.82,-1.02,-0.01
H3CONO (1.26) mode 6,1086.81,-0.03,1086.78,1086.80,-0.02,0.01,1086.20,0.59,1086.20,0.58,-0.01
H3CONO (1.26) mode 7,1176.83,-0.05,1176.79,1176.84,-0.05,-0.00,1176.89,-0.10,1176.93,-0.14,-0.04
H3CONO (1.26) mode 8,1209.18,-0.04,1209.14,1209.20,-0.06,-0.02,1209.09,0.05,1209.09,0.05,0.00
H3CONO (1.26) mode 9,1463.02,-0.04,1462.98,1462.95,0.03,0.07,1462.91,0.07,1462.89,0.09,0.01
H3CONO (1.26) mode 10,1494.37,-0.02,1494.35,1494.37,-0.02,0.00,1494.25,0.10,1494.22,0.13,0.04
H3CONO (1.26) mode 11,1518.62,0.01,1518.63,1518.68,-0.05,-0.06,1518.59,0.04,1518.60,0.03,-0.01
H3CONO (1.26) mode 12,1710.10,0.20,1710.30,1710.10,0.20,0.00,1710.29,0.01,1710.29,0.01,0.00
H3CONO (1.26) mode 13,3048.93,0.05,3048.98,3048.96,0.02,-0.03,3048.95,0.03,3048.94,0.03,0.00
H3CONO (1.26) mode 14,3137.26,0.00,3137.26,3137.23,0.03,0.03,3137.28,-0.01,3137.27,-0.01,0.00
H3CONO (1.26) mode 15,3138.43,0.03,3138.47,3138.43,0.04,0.00,3138.44,0.02,3138.45,0.01,-0.01
H3CNO2 (1.27) mode 1,24.69,-1.29,23.40,24.67,-1.27,0.02,24.69,-1.30,24.57,-1.17,0.13
H3CNO2 (1.27) mode 2,476.90,0.05,476.95,476.90,0.05,-0.00,476.95,-0.00,476.95,-0.00,-0.00
H3CNO2 (1.27) mode 3,608.86,-0.12,608.74,608.83,-0.09,0.02,609.28,-0.54,609.25,-0.51,0.03
H3CNO2 (1.27) mode 4,670.14,-0.14,670.00,670.16,-0.16,-0.02,670.16,-0.15,670.17,-0.17,-0.01
H3CNO2 (1.27) mode 5,935.42,0.01,935.44,935.42,0.02,0.00,936.44,-1.00,936.43,-1.00,0.00
H3CNO2 (1.27) mode 6,1111.02,-0.25,1110.76,1111.03,-0.27,-0.02,1110.78,-0.02,1110.78,-0.02,0.00
H3CNO2 (1.27) mode 7,1142.52,-0.05,1142.47,1142.53,-0.06,-0.01,1142.41,0.06,1142.48,-0.01,-0.07
H3CNO2 (1.27) mode 8,1410.51,-0.95,1409.56,1410.59,-1.03,-0.09,1409.46,0.10,1409.33,0.23,0.13
H3CNO2 (1.27) mode 9,1424.60,0.94,1425.54,1424.51,1.03,0.09,1425.30,0.24,1425.39,0.15,-0.09
H3CNO2 (1.27) mode 10,1476.02,-0.35,1475.67,1476.01,-0.34,0.00,1475.66,0.01,1475.66,0.01,-0.00
H3CNO2 (1.27) mode 11,1487.81,0.04,1487.85,1487.82,0.04,-0.01,1487.40,0.45,1487.40,0.45,-0.00
H3CNO2 (1.27) mode 12,1642.17,0.41,1642.57,1642.15,0.42,0.01,1642.56,0.01,1642.56,0.01,-0.00
H3CNO2 (1.27) mode 13,3088.83,-0.05,3088.79,3088.83,-0.04,0.01,3088.75,0.04,3088.74,0.05,0.00
H3CNO2 (1.27) mode 14,3186.62,0.09,3186.72,3186.63,0.08,-0.01,3186.71,0.01,3186.71,0.00,-0.01
H3CNO2 (1.27) mode 15,3215.00,0.04,3215.04,3215.00,0.04,0.00,3215.04,0.00,3215.04,0.00,0.00
H3CNH2 (1.28) mode 1,306.39,-0.04,306.35,306.39,-0.04,0.00,306.57,-0.22,306.52,-0.17,0.05
H3CNH2 (1.28) mode 2,878.91,-0.56,878.35,878.88,-0.53,0.03,879.28,-0.93,879.32,-0.97,-0.04
H3CNH2 (1.28) mode 3,976.50,-0.19,976.31,976.34,-0.03,0.15,976.36,-0.04,976.33,-0.02,0.03
H3CNH2 (1.28) mode 4,1065.54,0.03,1065.57,1065.52,0.05,0.02,1065.20,0.38,1065.15,0.42,0.04
H3CNH2 (1.28) mode 5,1188.04,-0.01,1188.02,1187.95,0.07,0.09,1188.05,-0.03,1188.08,-0.06,-0.03
H3CNH2 (1.28) mode 6,1359.29,0.10,1359.39,1359.40,-0.01,-0.11,1359.40,-0.00,1359.46,-0.06,-0.06
H3CNH2 (1.28) mode 7,1458.27,-0.21,1458.06,1458.09,-0.02,0.19,1458.17,-0.11,1458.26,-0.19,-0.08
H3CNH2 (1.28) mode 8,1508.07,0.09,1508.16,1508.24,-0.08,-0.18,1507.95,0.21,1507.84,0.33,0.11
H3CNH2 (1.28) mode 9,1527.69,-0.04,1527.65,1527.69,-0.04,-0.00,1527.64,0.02,1527.60,0.05,0.04
H3CNH2 (1.28) mode 10,1667.39,0.07,1667.46,1667.48,-0.02,-0.09,1667.42,0.04,1667.43,0.03,-0.01
H3CNH2 (1.28) mode 11,2997.37,-0.39,2996.98,2997.36,-0.39,0.00,2997.11,-0.14,2997.11,-0.14,-0.00
H3CNH2 (1.28) mode 12,3079.49,0.45,3079.94,3079.50,0.45,-0.00,3079.74,0.20,3079.76,0.18,-0.02
H3CNH2 (1.28) mode 13,3115.33,0.03,3115.36,3115.33,0.03,0.00,3115.38,-0.01,3115.35,0.01,0.02
H3CNH2 (1.28) mode 14,3498.19,0.08,3498.27,3498.19,0.09,0.00,3498.26,0.02,3498.26,0.02,0.00
H3CNH2 (1.28) mode 15,3579.12,0.00,3579.13,3579.12,0.00,0.00,3579.12,0.00,3579.12,0.01,0.01
H2CCH2 (1.29) mode 1,823.06,-0.02,823.04,823.06,-0.02,-0.00,823.06,-0.01,823.06,-0.01,-0.00
H2CCH2 (1.29) mode 2,941.84,-0.00,941.84,941.84,0.00,0.00,941.84,-0.00,941.84,-0.00,-0.00
H2CCH2 (1.29) mode 3,966.67,0.00,966.67,966.67,-0.00,-0.00,966.67,0.00,966.67,0.00,0.00
H2CCH2 (1.29) mode 4,1046.96,0.00,1046.96,1046.96,0.00,-0.00,1046.96,0.00,1046.96,0.00,0.00
H2CCH2 (1.29) mode 5,1242.16,-0.01,1242.16,1242.16,-0.01,-0.00,1242.17,-0.01,1242.17,-0.01,0.00
H2CCH2 (1.29) mode 6,1370.49,-1.51,1368.98,1370.49,-1.51,-0.00,1369.54,-0.56,1369.54,-0.56,-0.00
H2CCH2 (1.29) mode 7,1479.06,-0.00,1479.06,1479.06,-0.00,0.00,1479.06,-0.00,1479.06,-0.00,0.00
H2CCH2 (1.29) mode 8,1670.53,1.21,1671.73,1670.52,1.21,0.00,1671.30,0.43,1671.30,0.43,0.00
H2CCH2 (1.29) mode 9,3139.11,0.00,3139.11,3139.11,0.00,0.00,3139.11,0.00,3139.11,0.00,0.00
H2CCH2 (1.29) mode 10,3157.07,0.02,3157.09,3157.07,0.02,-0.00,3157.08,0.01,3157.08,0.01,-0.00
H2CCH2 (1.29) mode 11,3219.25,0.00,3219.26,3219.25,0.00,0.00,3219.25,0.00,3219.25,0.00,0.00
H2CCH2 (1.29) mode 12,3246.13,0.00,3246.14,3246.13,0.00,-0.00,3246.13,0.00,3246.13,0.00,-0.00
F2C=CF2 (1.30) mode 1,201.37,0.00,201.37,201.37,0.00,0.00,201.37,0.00,201.37,0.00,0.00
F2C=CF2 (1.30) mode 2,210.89,-0.01,210.88,210.89,-0.01,-0.00,210.92,-0.04,210.92,-0.04,-0.00
F2C=CF2 (1.30) mode 3,401.14,-0.10,401.04,401.15,-0.10,-0.00,401.08,-0.04,401.09,-0.04,-0.00
F2C=CF2 (1.30) mode 4,418.44,-0.00,418.44,418.44,0.00,0.00,418.44,-0.00,418.44,0.00,0.00
F2C=CF2 (1.30) mode 5,511.82,0.00,511.82,511.82,0.00,-0.00,511.83,-0.01,511.78,0.04,0.05
F2C=CF2 (1.30) mode 6,556.42,-0.01,556.41,556.42,-0.01,0.00,556.50,-0.10,556.54,-0.13,-0.03
F2C=CF2 (1.30) mode 7,559.81,-0.02,559.79,559.81,-0.01,0.01,559.79,0.00,559.82,-0.03,-0.03
F2C=CF2 (1.30) mode 8,797.37,-0.04,797.32,797.37,-0.04,-0.00,797.32,0.00,797.32,0.00,-0.00
F2C=CF2 (1.30) mode 9,1208.54,0.01,1208.55,1208.54,0.01,0.00,1208.55,0.00,1208.55,0.00,0.00
F2C=CF2 (1.30) mode 10,1376.52,0.02,1376.54,1376.54,0.00,-0.02,1376.49,0.05,1376.53,0.01,-0.05
F2C=CF2 (1.30) mode 11,1385.83,-0.01,1385.81,1385.81,0.00,0.02,1385.82,-0.01,1385.77,0.04,0.05
F2C=CF2 (1.30) mode 12,1921.11,0.04,1921.15,1921.11,0.04,0.00,1921.15,0.01,1921.15,0.01,0.00
Cl2C=CCl2 (1.31) mode 1,99.15,0.00,99.15,99.15,0.00,-0.00,99.15,0.00,99.15,-0.00,-0.00
Cl2C=CCl2 (1.31) mode 2,176.42,-0.00,176.42,176.42,-0.00,-0.00,176.43,-0.01,176.43,-0.01,0.00
Cl2C=CCl2 (1.31) mode 3,236.39,-0.01,236.38,236.39,-0.01,-0.00,236.38,-0.00,236.38,-0.00,-0.00
Cl2C=CCl2 (1.31) mode 4,288.16,0.00,288.16,288.16,-0.00,-0.00,288.16,0.00,288.16,-0.00,-0.00
Cl2C=CCl2 (1.31) mode 5,312.17,-0.00,312.17,312.17,-0.00,0.00,312.19,-0.01,312.19,-0.01,0.00
Cl2C=CCl2 (1.31) mode 6,348.10,-0.00,348.10,348.10,-0.00,0.00,348.30,-0.20,348.30,-0.20,-0.00
Cl2C=CCl2 (1.31) mode 7,452.08,-0.01,452.08,452.08,-0.01,0.00,452.15,-0.07,452.15,-0.07,0.00
Cl2C=CCl2 (1.31) mode 8,517.55,-0.00,517.55,517.55,0.00,0.00,517.55,-0.00,517.55,-0.00,-0.00
Cl2C=CCl2 (1.31) mode 9,785.28,0.00,785.28,785.28,0.00,0.00,785.27,0.00,785.27,0.00,0.00
Cl2C=CCl2 (1.31) mode 10,928.96,0.00,928.96,928.96,0.00,0.00,928.96,0.00,928.96,0.00,-0.00
Cl2C=CCl2 (1.31) mode 11,1009.16,0.00,1009.16,1009.16,0.00,-0.00,1009.09,0.07,1009.09,0.07,0.00
Cl2C=CCl2 (1.31) mode 12,1614.67,0.00,1614.67,1614.67,0.00,0.00,1614.65,0.02,1614.65,0.02,-0.00
HCCH (1.32) mode 1,577.56,0.00,577.56,577.56,0.00,-0.00,577.56,-0.00,577.56,0.00,0.00
HCCH (1.32) mode 2,577.56,-0.00,577.56,577.56,-0.00,0.00,577.56,-0.00,577.56,-0.00,-0.00
HCCH (1.32) mode 3,746.28,0.00,746.28,746.28,-0.00,-0.00,746.28,0.00,746.28,0.00,0.00
HCCH (1.32) mode 4,746.28,-0.00,746.28,746.28,0.00,0.00,746.28,-0.00,746.28,-0.00,-0.00
HCCH (1.32) mode 5,2000.87,-0.00,2000.86,2000.87,-0.00,-0.00,2000.89,-0.02,2000.89,-0.02,0.00
HCCH (1.32) mode 6,3409.95,0.00,3409.95,3409.94,0.00,0.00,3409.95,0.00,3409.95,0.00,0.00
HCCH (1.32) mode 7,3510.94,0.00,3510.94,3510.94,-0.00,-0.00,3510.93,0.01,3510.93,0.01,-0.00
HCOHCO (1.33) mode 1,136.30,-0.04,136.26,136.32,-0.06,-0.02,136.54,-0.27,136.59,-0.33,-0.06
HCOHCO (1.33) mode 2,331.00,-0.02,330.98,331.00,-0.02,0.00,330.98,-0.00,330.98,-0.00,0.00
HCOHCO (1.33) mode 3,560.35,-0.29,560.06,560.35,-0.28,0.00,560.31,-0.25,560.31,-0.25,0.00
HCOHCO (1.33) mode 4,823.86,0.01,823.86,823.85,0.01,0.00,823.82,0.05,823.81,0.05,0.01
HCOHCO (1.33) mode 5,1068.80,0.00,1068.80,1068.80,0.00,0.00,1068.80,0.00,1068.80,0.00,0.00
HCOHCO (1.33) mode 6,1095.64,-0.24,1095.40,1095.64,-0.24,-0.00,1096.19,-0.79,1096.19,-0.79,-0.00
HCOHCO (1.33) mode 7,1342.04,-0.04,1342.00,1342.04,-0.04,0.00,1342.07,-0.07,1342.07,-0.07,0.00
HCOHCO (1.33) mode 8,1384.74,0.10,1384.84,1384.75,0.10,-0.00,1384.73,0.11,1384.73,0.11,0.00
HCOHCO (1.33) mode 9,1757.87,0.02,1757.89,1757.88,0.01,-0.01,1757.88,0.01,1757.88,0.01,0.00
HCOHCO (1.33) mode 10,1779.63,0.14,1779.77,1779.61,0.16,0.02,1779.38,0.38,1779.38,0.38,-0.00
HCOHCO (1.33) mode 11,2982.12,0.01,2982.13,2981.98,0.15,0.14,2982.11,0.02,2982.11,0.02,0.00
HCOHCO (1.33) mode 12,2987.09,0.00,2987.10,2987.23,-0.13,-0.14,2987.04,0.06,2987.04,0.06,-0.00
H2CCO (1.34) mode 1,434.20,-0.03,434.17,434.20,-0.03,0.00,434.65,-0.47,434.65,-0.47,0.00
H2CCO (1.34) mode 2,515.56,-0.70,514.86,515.57,-0.70,-0.00,515.19,-0.33,515.19,-0.33,0.00
H2CCO (1.34) mode 3,590.15,0.61,590.76,590.14,0.61,0.00,590.47,0.28,590.47,0.28,-0.00
H2CCO (1.34) mode 4,993.65,-0.05,993.60,993.65,-0.05,0.00,993.42,0.17,993.42,0.17,-0.00
H2CCO (1.34) mode 5,1153.82,-1.85,1151.97,1153.82,-1.85,0.00,1152.28,-0.31,1152.28,-0.30,0.00
H2CCO (1.34) mode 6,1418.82,1.14,1419.96,1418.82,1.14,-0.00,1419.92,0.04,1419.93,0.04,-0.00
H2CCO (1.34) mode 7,2196.45,0.20,2196.66,2196.45,0.20,-0.00,2196.57,0.09,2196.57,0.09,0.00
H2CCO (1.34) mode 8,3201.07,0.02,3201.09,3201.07,0.02,0.00,3201.06,0.03,3201.06,0.03,0.00
H2CCO (1.34) mode 9,3305.74,0.02,3305.76,3305.74,0.02,-0.00,3305.75,0.01,3305.75,0.01,-0.00
H2CCHF (1.35) mode 1,481.48,-0.10,481.38,481.48,-0.10,0.00,481.47,-0.10,481.47,-0.10,0.00
H2CCHF (1.35) mode 2,725.29,-0.27,725.01,725.28,-0.27,0.00,725.54,-0.53,725.54,-0.53,-0.00
H2CCHF (1.35) mode 3,871.07,-0.03,871.03,871.07,-0.03,-0.00,871.07,-0.04,871.07,-0.03,0.01
H2CCHF (1.35) mode 4,945.73,-0.18,945.55,945.73,-0.18,0.00,945.73,-0.18,945.73,-0.18,0.00
H2CCHF (1.35) mode 5,955.93,0.24,956.17,955.93,0.24,0.00,955.73,0.44,955.74,0.43,-0.01
H2CCHF (1.35) mode 6,1186.31,-0.15,1186.16,1186.31,-0.15,0.00,1186.20,-0.04,1186.20,-0.04,0.00
H2CCHF (1.35) mode 7,1335.85,-0.47,1335.38,1335.86,-0.48,-0.01,1335.63,-0.25,1335.63,-0.25,-0.01
H2CCHF (1.35) mode 8,1424.97,-0.10,1424.87,1424.97,-0.10,-0.00,1424.92,-0.05,1424.92,-0.06,-0.00
H2CCHF (1.35) mode 9,1702.57,0.65,1703.22,1702.56,0.65,0.01,1702.90,0.31,1702.90,0.32,0.01
H2CCHF (1.35) mode 10,3178.29,-0.02,3178.28,3178.29,-0.02,0.00,3178.33,-0.05,3178.33,-0.06,-0.00
H2CCHF (1.35) mode 11,3216.75,-0.02,3216.73,3216.75,-0.02,0.00,3216.65,0.08,3216.65,0.08,0.00
H2CCHF (1.35) mode 12,3280.40,0.06,3280.45,3280.40,0.05,-0.00,3280.44,0.01,3280.44,0.01,-0.00
H2CCHCl (1.36) mode 1,393.20,-0.04,393.16,393.20,-0.04,-0.00,393.17,-0.01,393.17,-0.01,0.00
H2CCHCl (1.36) mode 2,624.94,-0.03,624.92,624.94,-0.03,-0.00,625.12,-0.21,625.13,-0.21,-0.00
H2CCHCl (1.36) mode 3,728.94,-0.03,728.91,728.94,-0.03,-0.00,729.13,-0.23,729.13,-0.23,0.00
H2CCHCl (1.36) mode 4,906.84,0.00,906.85,906.84,0.00,0.00,906.73,0.12,906.73,0.12,0.00
H2CCHCl (1.36) mode 5,967.55,0.02,967.57,967.55,0.02,0.00,967.54,0.03,967.54,0.03,0.00
H2CCHCl (1.36) mode 6,1043.84,-0.05,1043.79,1043.84,-0.05,0.00,1043.78,0.01,1043.78,0.01,0.00
H2CCHCl (1.36) mode 7,1304.05,-0.14,1303.91,1304.06,-0.15,-0.00,1304.62,-0.71,1304.63,-0.72,-0.01
H2CCHCl (1.36) mode 8,1410.12,-1.09,1409.03,1410.13,-1.10,-0.01,1408.88,0.14,1408.89,0.14,-0.00
H2CCHCl (1.36) mode 9,1647.85,1.07,1648.92,1647.84,1.08,0.01,1648.45,0.47,1648.44,0.48,0.01
H2CCHCl (1.36) mode 10,3163.14,-0.00,3163.14,3163.15,-0.01,-0.01,3163.16,-0.02,3163.16,-0.02,0.00
H2CCHCl (1.36) mode 11,3219.72,-0.03,3219.69,3219.72,-0.03,0.00,3219.65,0.04,3219.65,0.04,0.00
H2CCHCl (1.36) mode 12,3261.54,0.04,3261.58,3261.53,0.05,0.01,3261.57,0.01,3261.57,0.01,-0.00
H3CCClO (1.37) mode 1,143.36,-0.06,143.29,143.36,-0.06,-0.00,143.49,-0.20,143.48,-0.19,0.01
H3CCClO (1.37) mode 2,343.11,-0.04,343.07,343.11,-0.04,-0.00,343.12,-0.05,343.13,-0.06,-0.01
H3CCClO (1.37) mode 3,448.73,-0.03,448.70,448.73,-0.03,-0.00,448.74,-0.04,448.74,-0.04,-0.00
H3CCClO (1.37) mode 4,518.06,-0.01,518.05,518.05,-0.00,0.00,518.08,-0.03,518.08,-0.03,0.00
H3CCClO (1.37) mode 5,613.66,-0.08,613.58,613.66,-0.08,0.00,613.58,-0.00,613.59,-0.01,-0.01
H3CCClO (1.37) mode 6,971.16,-1.23,969.93,971.07,-1.14,0.09,970.94,-1.01,971.02,-1.09,-0.08
H3CCClO (1.37) mode 7,1047.60,-0.11,1047.49,1047.60,-0.11,-0.00,1047.52,-0.02,1047.54,-0.05,-0.02
H3CCClO (1.37) mode 8,1126.46,0.58,1127.04,1126.60,0.44,-0.14,1126.79,0.26,1126.73,0.32,0.06
H3CCClO (1.37) mode 9,1393.84,0.26,1394.09,1393.83,0.26,0.01,1394.12,-0.03,1394.07,0.02,0.05
H3CCClO (1.37) mode 10,1472.29,-0.03,1472.26,1472.25,0.01,0.04,1472.04,0.22,1472.09,0.18,-0.05
H3CCClO (1.37) mode 11,1478.20,-0.00,1478.20,1478.20,-0.00,0.00,1478.16,0.04,1478.14,0.05,0.02
H3CCClO (1.37) mode 12,1858.97,0.05,1859.03,1858.97,0.05,0.00,1858.87,0.16,1858.87,0.16,-0.00
H3CCClO (1.37) mode 13,3062.17,0.04,3062.21,3062.20,0.02,-0.03,3062.17,0.04,3062.17,0.04,-0.00
H3CCClO (1.37) mode 14,3142.84,0.02,3142.85,3142.81,0.04,0.02,3142.85,0.00,3142.85,0.00,0.00
H3CCClO (1.37) mode 15,3169.09,0.05,3169.14,3169.09,0.05,0.00,3169.13,0.01,3169.13,0.01,0.00
H3CCFO (1.38) mode 1,135.46,-0.08,135.38,135.47,-0.08,-0.00,135.68,-0.29,135.67,-0.28,0.01
H3CCFO (1.38) mode 2,412.98,-0.03,412.95,412.98,-0.03,-0.00,412.99,-0.04,412.99,-0.04,-0.00
H3CCFO (1.38) mode 3,572.47,-0.02,572.45,572.47,-0.02,0.00,572.53,-0.07,572.52,-0.07,0.01
H3CCFO (1.38) mode 4,605.24,-0.17,605.07,605.24,-0.17,0.00,605.11,-0.04,605.11,-0.04,-0.01
H3CCFO (1.38) mode 5,854.94,-0.14,854.81,854.95,-0.14,-0.00,855.16,-0.35,855.16,-0.35,-0.00
H3CCFO (1.38) mode 6,1017.91,-0.77,1017.14,1017.93,-0.79,-0.02,1017.40,-0.26,1017.41,-0.27,-0.01
H3CCFO (1.38) mode 7,1073.20,-0.13,1073.07,1073.22,-0.16,-0.03,1073.12,-0.05,1073.19,-0.12,-0.07
H3CCFO (1.38) mode 8,1230.37,-0.42,1229.96,1230.46,-0.50,-0.09,1230.21,-0.26,1230.13,-0.18,0.08
H3CCFO (1.38) mode 9,1408.21,0.86,1409.07,1408.12,0.94,0.09,1408.84,0.23,1408.86,0.20,-0.02
